idx,mu0,mu1,fom_time_s,rom_time_s,podnn_time_s,rom_rel_l2_u,podnn_rel_l2_u,rom_rel_l2_p,podnn_rel_l2_p,rom_rel_h1_u,podnn_rel_h1_u,pinn_time_s,pinn_rel_l2_u,pinn_rel_l2_p,pinn_rel_h1_u
63,3.3656260020945745,1.2890483777320938,0.0805959701538086,0.005615949630737305,0.00023412704467773438,0.015208800021963504,0.018785924142207824,0.007857895567807853,0.025662679857433635,0.024622182589783603,0.04444831689012097,0.006270885467529297,0.2206249085852077,0.9185695260449261,0.36903269450508724
64,1.1236893804532613,2.175289144355424,0.12192082405090332,0.005357027053833008,0.0002357959747314453,0.014266537694211795,0.018047508114902876,0.0043658881174440875,0.013397958595185491,0.016794823770828356,0.02431886781162536,0.0063381195068359375,0.23412654676380676,2.073284879700665,0.33891653282793155
65,1.7888703885151724,2.8502402367535944,0.09196710586547852,0.0052149295806884766,0.00023174285888671875,0.021528273033307187,0.037783434882461484,0.002740039601494154,0.013141368550405503,0.022874931081045078,0.050520471084660436,0.007729053497314453,0.41373533666060613,1.1340748539388557,0.5374376873250201
66,5.852505283033911,1.6937396090696741,0.0675501823425293,0.00461888313293457,0.00024890899658203125,0.006922669872408644,0.034397221697164214,0.005431583028307304,0.016060410696300542,0.008801397136521998,0.04733737347385125,0.006072998046875,0.27036947617901474,0.8716626311589468,0.3699003964462936
67,5.9500633656660264,1.045607742059395,0.20832204818725586,0.005881786346435547,0.00023698806762695312,0.010664689540031014,0.09123089354324651,0.0039773402043330915,0.025450686055134543,0.025583631956161333,0.19750227404406073,0.0062580108642578125,0.3690907865124249,0.927155287238368,0.6113601045504997
68,9.58973621109031,1.9646068738858005,0.09838199615478516,0.006115913391113281,0.00023794174194335938,0.004352828214475281,0.06814857968147338,0.028441973853197845,0.04927160735585516,0.008516453677917866,0.07287915442443177,0.008439064025878906,0.38960255075895,1.0245626341785221,0.4139520928096446
69,7.849078749777834,1.1654599998448771,0.06688499450683594,0.005005836486816406,0.0002529621124267578,0.008977773185119609,0.05496917839942956,0.012091577378398447,0.05254203936016709,0.017606878833626244,0.09518056532402393,0.006474971771240234,0.2545170173444017,0.9415233431086723,0.45197134138132994
70,4.917917475297788,1.9814139887090418,0.08698701858520508,0.005875825881958008,0.00025916099548339844,0.00465120653461203,0.01561973563247649,0.03418498654161677,0.01615200398760756,0.00928452105030916,0.020536676013874027,0.006302356719970703,0.2588104005616344,1.259321532783342,0.31394973021112177
71,9.38448190425233,2.1434561047521505,0.08035778999328613,0.005110025405883789,0.00025391578674316406,0.012953978518419333,0.037907371511745266,0.013373879275662786,0.03764181332003509,0.016765523862528647,0.051111038369061175,0.007249116897583008,0.3443016887048052,1.2370008130377843,0.4169915229167386
72,4.7875450704638425,1.5339513261837872,0.09977293014526367,0.0063059329986572266,0.0002429485321044922,0.012671439777309243,0.02556350964537225,0.006144851783979618,0.015798153985539055,0.018591007479521388,0.041600132306207675,0.004662036895751953,0.21329360870566114,0.8549853808737937,0.29463872048392087
73,3.382533073691267,2.0413448049430754,0.09965181350708008,0.005934953689575195,0.00023603439331054688,0.005749887476688455,0.01600941417583537,0.023624202008494594,0.019521757343016827,0.010736882086246013,0.0194893937762994,0.0072782039642333984,0.21817598655383674,1.5300300314316375,0.2739747352315639
74,4.445223457019963,1.0432241597606609,0.08024907112121582,0.0050890445709228516,0.00023698806762695312,0.011083767174590088,0.06159593510797344,0.0042697836857687466,0.025732679043786663,0.02649741931446952,0.1377479707302097,0.0057222843170166016,0.34033601129819463,0.9224204736094055,0.5696348361814831
75,8.280290049524142,2.7923215436795337,0.07579302787780762,0.005994081497192383,0.0002338886260986328,0.017875482729422444,0.1218059018404025,0.0042175689120909216,0.014027735661436395,0.01722251905808146,0.16239917757951397,0.004930019378662109,0.727936333369935,0.9219347026745016,0.7854643911546295
76,1.4884659810862466,2.108072287078099,0.0924978256225586,0.008632183074951172,0.00023603439331054688,0.009682574273234164,0.01529567841698382,0.003300487202602823,0.012259716190516011,0.014026311537306447,0.021720246550675337,0.00790715217590332,0.19867855931311879,1.6771411157759093,0.28329755637184023
77,1.1748998372408912,2.3444801860796236,0.08875274658203125,0.005597114562988281,0.00023698806762695312,0.006992681967134834,0.02304770039789864,0.00842001225444311,0.013045577152738602,0.011303664369284105,0.033849540129496695,0.005609035491943359,0.35055375431903774,2.0148893111698434,0.4925197991964023
78,2.8842144600061825,2.3188452693838038,0.08035778999328613,0.006342172622680664,0.0002532005310058594,0.008463703229301314,0.02036962136624171,0.0020795926372441623,0.004995705637962596,0.014119976880896844,0.02382643945382735,0.007483959197998047,0.368753769133663,1.5008102963994245,0.47737261114776147
79,7.297246681440138,2.537294983835314,0.08458113670349121,0.004542827606201172,0.00024890899658203125,0.0088313761996352,0.08166349117029276,0.003360542583038376,0.009229719095511596,0.007497023481855586,0.11085102731594766,0.007131099700927734,0.5221455511071426,0.931576657601902,0.6585525954326724
80,1.166635364963376,2.832023690275216,0.08936810493469238,0.0055468082427978516,0.00023984909057617188,0.018478090839133092,0.04391800593977048,0.002919850511248533,0.009626109168054528,0.02074534628545605,0.05529967034441547,0.004564046859741211,0.4091756772968787,1.055926067025111,0.5540572608554197
81,2.37911850985932,1.0748251123523596,0.08665323257446289,0.005153656005859375,0.00024199485778808594,0.005771192042544742,0.03298706159695089,0.004406887738276187,0.014842275678059274,0.014939064682689166,0.041283141536031485,0.006765127182006836,0.23777037284010033,1.267378219109773,0.43157314360523436
