idx,mu0,mu1,fom_time_s,pinn_time_s,pinn_rel_l2_u,pinn_rel_l2_p,pinn_rel_h1_u
83,8.31491845701089,2.6165029441286034,0.0884852409362793,0.01852893829345703,0.9997338282035908,0.9954729914309284,1.0051278264877679
84,3.239675038944882,2.9057987901394897,0.08928322792053223,0.02086615562438965,0.9986005549540519,0.9987349265958807,1.000177687801685
85,2.9800865975871744,2.030114258463429,0.09444713592529297,0.020694971084594727,1.0029950240268701,0.9951078767086905,1.0049875490647642
86,2.634054396619267,2.8720871400979266,0.08386397361755371,0.021203994750976562,0.998101647153126,0.9974903625836707,0.9993396819660071
87,1.7296173940619797,1.089821238784658,0.11517000198364258,0.021394968032836914,0.9994994772208613,1.0068494279878404,1.0035517179023399
88,4.407460894030076,2.9847511281116743,0.08412909507751465,0.020663022994995117,1.0014633754881739,0.9992947437379487,1.003575260975228
89,8.927604935923648,2.4972160389138987,0.14478302001953125,0.021869897842407227,1.006300113009606,0.9941535045177776,1.0111445947239435
90,8.918845659697396,2.786893279395726,0.18141388893127441,0.020893335342407227,1.0010329726001694,0.9965157061263302,1.0051569084664906
91,5.236697767825846,1.631858103661586,0.08673596382141113,0.0250246524810791,0.9983164111192572,0.9991141018420507,1.0079471827191955
92,7.742923077898782,2.323322526335522,0.10011625289916992,0.023465871810913086,1.0092581829663718,1.0022540066405563,1.0118039603561808
93,3.7992115158497297,1.1889333361230305,0.07587409019470215,0.022350072860717773,0.9986850084240316,1.006771546786547,1.0056653750820927
94,7.493217152355357,1.5249210318457294,0.0874319076538086,0.02063894271850586,0.996140193748783,1.0048146329979084,1.0112867343962193
95,9.374450190284415,1.4819411500113695,0.07274794578552246,0.024153947830200195,0.9970025392674725,1.0065844368849604,1.0188874860581127
96,1.3153035308737118,2.662225344249812,0.089691162109375,0.021591663360595703,0.9982698711638637,0.9960724275897319,0.9987721586824393
97,1.6175147345824912,1.3585366163154782,0.07211923599243164,0.02150130271911621,0.997637136196576,1.0063040230904623,0.9973924899638655
98,6.033889636056351,2.749124081674929,0.06776809692382812,0.0207059383392334,0.9969525648840336,0.9965745045555918,1.000321462072653
99,2.044703190574275,1.6206473458001895,0.08785104751586914,0.018341779708862305,0.9984142649490123,0.9995529763529166,1.00046038538231
100,7.796307898587658,2.943652852121935,0.0869910717010498,0.01888895034790039,1.0051555767997116,0.9997644634189112,1.0075367576155612
101,5.057337743403189,1.2877950051025016,0.0934898853302002,0.018780946731567383,0.9966446776997137,1.007094657216558,1.0028980336691513
102,0.2379692483111953,1.4593120599977105,0.12328195571899414,0.0176999568939209,0.999614243774415,1.0026726853780268,0.9995229125260978
103,1.4050399560865583,2.355317347225715,0.07872295379638672,0.017302989959716797,0.9999008613835272,1.0006040718005562,1.0003129211453716
104,1.3061417958224582,2.0126598632412662,0.08219218254089355,0.01668095588684082,1.001183880194593,0.9932301847982121,1.0019716619219166
105,6.973198112864576,2.1622332184418047,0.08787989616394043,0.016614913940429688,1.0075273085339205,1.0036369569604713,1.0090743025487814
106,2.0777789514345706,2.6082490523645254,0.0890040397644043,0.016856908798217773,0.9977641163276294,0.9949676975497393,0.9988626702618992
107,7.182530583196437,2.4779680078310835,0.08900094032287598,0.01726698875427246,1.0036584530613295,0.9945590636952958,1.0077663313560343
108,1.3974717404174013,1.2475076073006892,0.12160587310791016,0.01791524887084961,0.9985020033605699,1.0056727131324856,0.9982634538304426
109,9.282869254964426,1.7951563876498813,0.08609986305236816,0.018969058990478516,1.0140223889720037,0.9950644105437498,1.0299567413921402
110,3.079392048631304,1.9771680907030666,0.08694601058959961,0.01624608039855957,1.0033095266508614,0.9933844982221092,1.005826954956623
111,6.662355706359466,2.91124651409394,0.07523202896118164,0.017830848693847656,1.0013810645057097,0.9991118284187631,1.0041249138048731
112,2.9358176461323446,2.8496168586240542,0.08380794525146484,0.01931619644165039,0.9977324933191356,0.9967849007560433,0.9991267574529386
113,0.34610896472393754,2.110396084653649,0.12531518936157227,0.017168283462524414,1.0001725532331092,0.9973441757916192,1.0002013624160693
114,6.376353605642743,1.2117948075015066,0.15967106819152832,0.01704120635986328,1.000301035343443,1.0073986966080755,1.0172010641812768
115,1.4893620109327352,1.8382286386326077,0.08568501472473145,0.018063068389892578,1.0010732184253592,0.9948887497918408,1.0024181926271747
116,9.665695930217499,2.1920851064687454,0.08630800247192383,0.018339157104492188,1.0143094566436364,1.0057397224255316,1.0157683629037988
117,9.336929893842091,2.6087218312259415,0.08563399314880371,0.017429113388061523,1.0017700642894236,0.9953411365773328,1.0076143659388854
118,4.727077855397386,2.5695268985043747,0.08362293243408203,0.017254114151000977,0.9976822431978545,0.9942514328038455,1.0008783747760097
119,0.2765841613721786,1.2182879935314699,0.1281881332397461,0.017630815505981445,0.9996889167907427,0.9997931303629619,0.9994765407177363
120,8.31134328733909,2.5936341766503235,0.08233904838562012,0.016477108001708984,1.0003228411357787,0.9949469515188921,1.0057186385335255
121,2.4031433454676936,2.061539181198107,0.10153007507324219,0.017192840576171875,1.002116294240865,0.9973832617227123,1.0033503078053332
122,6.099556624930108,2.7354779075520224,0.10998082160949707,0.016337156295776367,0.9968933093624561,0.9966377252223082,1.00038010250571
123,6.070760857653385,1.8251431385473607,0.07774901390075684,0.017816781997680664,1.0069373714015828,0.9951507038814457,1.0153100160807382
124,3.804422029731109,1.8517641727470198,0.0849761962890625,0.017473220825195312,1.0037590900266113,0.9952866299771458,1.0080875561218612
125,6.554117153241744,2.7349812635046495,0.09079122543334961,0.01670694351196289,0.9972107730958135,0.9966566782767577,1.000958403006595
126,4.593579132555368,1.4956791259027162,0.10262608528137207,0.017492055892944336,0.9953141959470535,1.0054819086646318,1.0012189159219942
127,2.4429573936760534,2.492028560486893,0.08625483512878418,0.017882823944091797,0.9990681818203104,0.9939278486372587,1.0004401432551357
128,8.184030757896712,1.21055615970825,0.08701896667480469,0.016270160675048828,1.00377331767095,1.0078934607290482,1.0321970749686291
129,0.7589326838562638,2.1888673275129036,0.12148213386535645,0.01665806770324707,1.0000877461741882,1.005318042158983,0.999975056918336
130,1.5471151175077131,2.6493283809126824,0.09017705917358398,0.017670154571533203,0.998049538252273,0.9958629178521379,0.9987083458229922
131,3.172313271848337,1.2877438659422853,0.07530808448791504,0.018125057220458984,0.996890925402896,1.0064724372957539,0.9985778978499213
132,9.217607677625757,1.3310634454705563,0.08671879768371582,0.01624011993408203,0.999097783739391,1.008683128162869,1.0204453147531451
133,2.918728815145562,1.3072267903841173,0.08670520782470703,0.017163991928100586,0.9967685292550222,1.0064816200190903,0.9978496157594454
134,1.2433516302870142,1.04229603267288,0.08823108673095703,0.017345190048217773,0.999745982336543,1.0069247264298715,1.003468210559747
135,0.6484145507261752,1.3492829418717054,0.1279458999633789,0.017333984375,0.9989849254533172,1.0050069247038835,0.9985717716039709
136,0.6284811330090364,2.1822876322219424,0.12395215034484863,0.018572092056274414,1.0000839302662903,1.0047319300346924,0.9999873146033313
137,6.839073815315113,1.7872609136640565,0.08163881301879883,0.017843008041381836,1.0072088732524542,0.9947617092605924,1.018458727139592
138,3.2481118598252894,2.00905247404446,0.07457304000854492,0.01714301109313965,1.0034420654384026,0.9934108007580164,1.0058692405662228
139,8.762548928122625,2.702263253644412,0.09255504608154297,0.016403913497924805,0.9998512093338402,0.9967486409833086,1.004956648776556
140,0.5304031139266403,1.3629968191930482,0.12244987487792969,0.016433000564575195,0.9991464500706261,1.0045996957925347,0.9988002644566308
141,2.4437742239335205,1.4987751516644237,0.18534207344055176,0.016914844512939453,0.9968955571179586,1.0051161769694268,0.9985788816248324
142,5.75520325225345,1.8325248514063845,0.08499813079833984,0.017822980880737305,1.0065190543161977,0.9952198334814559,1.0141609783096537
143,0.5876157872831805,1.7472282769191432,0.1238410472869873,0.01702404022216797,0.9999887071890041,0.9941017420791165,1.0004258934361971
144,5.285154192304609,1.203343805807432,0.08208799362182617,0.01585221290588379,0.9993208725808387,1.00712045610711,1.0115948499774008
145,8.35123968250674,1.1039237329302085,0.09588074684143066,0.017036914825439453,1.0128287509559974,1.0082164443597634,1.072370647054994
146,9.255934503278816,1.198226283159751,0.0842599868774414,0.01911616325378418,1.0075839017443802,1.0081878113086613,1.0473680900423834
147,8.451392020817753,2.805306287855234,0.09468388557434082,0.015566825866699219,1.0005348421289373,0.9964897204354664,1.0043769507160438
148,9.797749737807267,2.604051760547187,0.09557914733886719,0.016818761825561523,1.002903745304086,0.995255362941453,1.0089232192751048
149,7.816827653636157,2.2849665519910953,0.0884089469909668,0.015811681747436523,1.009055741989766,1.0041866682946075,1.0110719583850813
